"","lat","lon","day","sis","sid","id"
"139",40.125,-105.237,19,1760.73333333333,717.083333333333,"40.125 -105.237 19"
"140",40.125,-105.237,20,1635.46666666667,1006.55,"40.125 -105.237 20"
"141",40.125,-105.237,21,2795.3,2811.23333333333,"40.125 -105.237 21"
"142",40.125,-105.237,22,2727.68333333333,2962.43333333333,"40.125 -105.237 22"
"143",40.125,-105.237,23,2209.2,1755.88333333333,"40.125 -105.237 23"
"144",40.125,-105.237,24,440.116666666667,2.5,"40.125 -105.237 24"
"145",40.125,-105.237,25,1303.18333333333,230.116666666667,"40.125 -105.237 25"
"146",40.125,-105.237,26,2876.85,3468.98333333333,"40.125 -105.237 26"
"147",40.125,-105.237,27,2958.58333333333,3787.23333333333,"40.125 -105.237 27"
"148",40.125,-105.237,28,2845.58333333333,3511.03333333333,"40.125 -105.237 28"
"149",40.125,-105.237,29,1698.5,650.566666666667,"40.125 -105.237 29"
"150",40.125,-105.237,30,2662.03333333333,2844.18333333333,"40.125 -105.237 30"
"151",40.048,-105.007,1,4625.08333333333,3092.51666666667,"40.048 -105.007 1"
"152",40.048,-105.007,2,8242.05,9782.98333333333,"40.048 -105.007 2"
"153",40.048,-105.007,3,6498.06666666667,3660.11666666667,"40.048 -105.007 3"
"154",40.048,-105.007,4,2450.75,13.9,"40.048 -105.007 4"
"155",40.048,-105.007,5,6360.11666666667,0,"40.048 -105.007 5"
"156",40.048,-105.007,6,6751.1,1466.5,"40.048 -105.007 6"
"157",40.048,-105.007,7,7651.98333333333,0.05,"40.048 -105.007 7"
"158",40.048,-105.007,8,8480.53333333333,7746.4,"40.048 -105.007 8"
"159",40.048,-105.007,9,5286.38333333333,2441.1,"40.048 -105.007 9"
"160",40.048,-105.007,10,7370.88333333333,174.983333333333,"40.048 -105.007 10"
"161",40.048,-105.007,11,7257.36666666667,6720.46666666667,"40.048 -105.007 11"
"162",40.048,-105.007,12,6650.78333333333,6287.68333333333,"40.048 -105.007 12"
"163",40.048,-105.007,13,5015.13333333333,1515.31666666667,"40.048 -105.007 13"
"164",40.048,-105.007,14,7851.15,8443.4,"40.048 -105.007 14"
"165",40.048,-105.007,15,8687.23333333333,10113.9166666667,"40.048 -105.007 15"
"166",40.048,-105.007,16,6709.85,4381.25,"40.048 -105.007 16"
"167",40.048,-105.007,17,5943.51666666667,4027.06666666667,"40.048 -105.007 17"
"168",40.048,-105.007,18,4425.31666666667,1433.2,"40.048 -105.007 18"
"169",40.048,-105.007,19,6483.36666666667,3331.66666666667,"40.048 -105.007 19"
"170",40.048,-105.007,20,6107.16666666667,4534.63333333333,"40.048 -105.007 20"
"171",40.048,-105.007,21,8340.23333333333,8865.66666666667,"40.048 -105.007 21"
"172",40.048,-105.007,22,8496.5,9956.9,"40.048 -105.007 22"
"173",40.048,-105.007,23,6639.86666666667,5276.8,"40.048 -105.007 23"
"174",40.048,-105.007,24,1666.83333333333,221.35,"40.048 -105.007 24"
"175",40.048,-105.007,25,5886.18333333333,3014.35,"40.048 -105.007 25"
"176",40.048,-105.007,26,8666.8,10447.8666666667,"40.048 -105.007 26"
"177",40.048,-105.007,27,8838.23333333333,11491.8166666667,"40.048 -105.007 27"
"178",40.048,-105.007,28,8444.68333333333,10427.5833333333,"40.048 -105.007 28"
"179",40.048,-105.007,29,5731.58333333333,3175.4,"40.048 -105.007 29"
"180",40.048,-105.007,30,8184,9269.41666666667,"40.048 -105.007 30"
"181",50.217,-5.317,1,3605.46666666667,1257.2,"50.217 -5.317 1"
"182",50.217,-5.317,2,6633.68333333333,4312.9,"50.217 -5.317 2"
"183",50.217,-5.317,3,3302.36666666667,900.566666666667,"50.217 -5.317 3"
"184",50.217,-5.317,4,3936.61666666667,2251.16666666667,"50.217 -5.317 4"
"185",50.217,-5.317,5,5326.98333333333,1824.05,"50.217 -5.317 5"
"186",50.217,-5.317,6,5176.58333333333,2202.86666666667,"50.217 -5.317 6"
"187",50.217,-5.317,7,5028.85,1825.08333333333,"50.217 -5.317 7"
"188",50.217,-5.317,8,5482.18333333333,3489.93333333333,"50.217 -5.317 8"
"189",50.217,-5.317,9,4666.1,973.116666666667,"50.217 -5.317 9"
"190",50.217,-5.317,10,4016.08333333333,460.1,"50.217 -5.317 10"
"191",50.217,-5.317,11,5244.55,437.033333333333,"50.217 -5.317 11"
"192",50.217,-5.317,12,8218.25,9535.11666666667,"50.217 -5.317 12"
"193",50.217,-5.317,13,6693.45,5779.55,"50.217 -5.317 13"
"194",50.217,-5.317,14,8331.2,10138.6166666667,"50.217 -5.317 14"
"195",50.217,-5.317,15,8267.36666666667,9287.28333333333,"50.217 -5.317 15"
"196",50.217,-5.317,16,7452.2,7023.86666666667,"50.217 -5.317 16"
"197",50.217,-5.317,17,7298.53333333333,7230.93333333333,"50.217 -5.317 17"
"198",50.217,-5.317,18,2063.4,1.73333333333333,"50.217 -5.317 18"
"199",50.217,-5.317,19,3613.51666666667,18.35,"50.217 -5.317 19"
"200",50.217,-5.317,20,8484.26666666667,10163.7166666667,"50.217 -5.317 20"
"201",50.217,-5.317,21,7106.26666666667,5967.38333333333,"50.217 -5.317 21"
"202",50.217,-5.317,22,2133.08333333333,194.55,"50.217 -5.317 22"
"203",50.217,-5.317,23,8473.88333333333,9913.9,"50.217 -5.317 23"
"204",50.217,-5.317,24,6338.86666666667,5074.5,"50.217 -5.317 24"
"205",50.217,-5.317,25,4262.76666666667,1458.46666666667,"50.217 -5.317 25"
"206",50.217,-5.317,26,5549.4,2278.66666666667,"50.217 -5.317 26"
"207",50.217,-5.317,27,8076.28333333333,8981.45,"50.217 -5.317 27"
"208",50.217,-5.317,28,7643.53333333333,7369.68333333333,"50.217 -5.317 28"
"209",50.217,-5.317,29,4241.86666666667,1284.96666666667,"50.217 -5.317 29"
"210",50.217,-5.317,30,7388.43333333333,0,"50.217 -5.317 30"
"211",44.083,5.05901,1,7623.76666666667,7199.78333333333,"44.083 5.05901 1"
"212",44.083,5.05901,2,7669.16666666667,7253.91666666667,"44.083 5.05901 2"
"213",44.083,5.05901,3,5914.98333333333,4254.33333333333,"44.083 5.05901 3"
"214",44.083,5.05901,4,7679.21666666667,8113.15,"44.083 5.05901 4"
"215",44.083,5.05901,5,6699.36666666667,5170.2,"44.083 5.05901 5"
"216",44.083,5.05901,6,8124.16666666667,9442.28333333333,"44.083 5.05901 6"
